"DocumentName","Extension","RepositoryPath","Folder","SizeKB","LastModified","SHA256","Version","Status","Owner"
".keep",".keep","CI_Workflows\.keep","CI_Workflows","0","7/2/2026 9:16:47 PM","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026.1","Controlled","Golden Wings"
".keep",".keep","Document_Validators\.keep","Document_Validators","0","7/2/2026 9:16:47 PM","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026.1","Controlled","Golden Wings"
"Build-Baseline.ps1",".ps1","PowerShell\Build-Baseline.ps1","PowerShell","2.85","7/3/2026 9:54:40 AM","7006D23FF01E0240160217F2148ADB1CF61838FBB25D339F8722022F4ED35FEB","2026.1","Controlled","Golden Wings"
"Build-DocumentRegister.ps1",".ps1","PowerShell\Build-DocumentRegister.ps1","PowerShell","2.4","7/3/2026 9:57:46 AM","5D09E22B52133E422282CED5D076DFB21AD815C6132774D375E42472C85992BF","2026.1","Controlled","Golden Wings"
"Build-Hashes.ps1",".ps1","PowerShell\Build-Hashes.ps1","PowerShell","1.2","7/3/2026 12:28:08 PM","B1D607FD674F9E55E373466027BC0A580D87602F38F195258E3EE8CAFAA9FDAE","2026.1","Controlled","Golden Wings"
"Generate-Manifest.ps1",".ps1","PowerShell\Generate-Manifest.ps1","PowerShell","1.24","7/2/2026 7:48:32 PM","4248926762C7D5633CE9C5750496CE7E2DD8AEEAEE06627A030814F75A3644B4","2026.1","Controlled","Golden Wings"
"Generate-RepositoryMetadata.ps1",".ps1","PowerShell\Generate-RepositoryMetadata.ps1","PowerShell","1.75","7/3/2026 12:28:01 PM","6FE5D129B05655284653AC61E50D794CB2F5E856A44AB49E65674DFAA49397B7","2026.1","Controlled","Golden Wings"
"Repository.Common.psm1",".psm1","PowerShell\Modules\Repository.Common.psm1","Modules","15.89","7/4/2026 9:36:10 AM","C1A3FBB1D4BA9CC729DDC2C6955DB598CEDE3684C24A7E1F2802294D61CDE38B","2026.1","Controlled","Golden Wings"
"Release-Repository.ps1",".ps1","PowerShell\Release-Repository.ps1","PowerShell","1.12","7/3/2026 12:27:52 PM","1B610DCAD9F52DBF52864A5B77656F2BCB25CF99FEA3DE8EED099AE5DA31A7CC","2026.1","Controlled","Golden Wings"
"Repository-Statistics.ps1",".ps1","PowerShell\Repository-Statistics.ps1","PowerShell","1.46","7/3/2026 12:27:44 PM","6537044B4AC24FAF9BFFCC547F72752BB92810E0C3E573C8E0544318283A30FD","2026.1","Controlled","Golden Wings"
"Test-Phase1.ps1",".ps1","PowerShell\Test-Phase1.ps1","PowerShell","4.9","7/4/2026 9:43:42 AM","52D3B083995C6811AAE2ABAFA3DBB0C2826D1411F62C493DD414D17B1A7511AB","2026.1","Controlled","Golden Wings"
"Validate-DocumentNames.ps1",".ps1","PowerShell\Validate-DocumentNames.ps1","PowerShell","1.17","7/3/2026 12:27:39 PM","8123D312BA1132212A25984EC802577D2C73D56BA078F5E0ADF16C438CE4D193","2026.1","Controlled","Golden Wings"
"Validate-RepositoryStructure.ps1",".ps1","PowerShell\Validate-RepositoryStructure.ps1","PowerShell","1.47","7/3/2026 12:27:32 PM","70F67D8D6052BE50ACFF408A305718B3352050D24C84DF604B4F88B3E28305CC","2026.1","Controlled","Golden Wings"
"Verify-Repository.ps1",".ps1","PowerShell\Verify-Repository.ps1","PowerShell","1.72","7/3/2026 9:26:31 AM","530F40AC5351B3059603264F894FF73E70ACF7607AA1F0BF5896616A6C1986C9","2026.1","Controlled","Golden Wings"
".keep",".keep","Python\.keep","Python","0","7/2/2026 9:16:47 PM","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026.1","Controlled","Golden Wings"
".keep",".keep","Validation_Scripts\.keep","Validation_Scripts","0","7/2/2026 9:16:47 PM","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026.1","Controlled","Golden Wings"
